#Diálogos que Monika dice al azar.,,,,puedes usar {name} y {date} como marcadores de posición,,,,,,,,,
#Notas,Inicio (Dejar en blanco),Texto,Cara,Texto,Cara,Texto,Cara,Texto,Cara,Texto,Cara,Texto,Cara
,,...,q,...∼¡Aaaah!,m,No estaba durmiendo. Solo...,n,Aaaah...,n,,,,
,,♫ ...¿qué se necesitará para encontrar ese día especial? ♫,d,,,,,,,,,,
canción de MandoPony,,♫ Hay una chica... que... conozco... ♫,j,...,l,"Oops, la canción equivocada.",l,∼¡Ahahaha!,l,,,,
,,Estoy tan feliz de poder estar aquí contigo.,j,Es maravilloso solo ver qué haces mientras estoy aquí en mi pequeña esquina.,b,Es casi como un sueño hecho realidad.,j,Si tan solo estuviera a tu lado...,h,∼¡Ahora sí sería un sueño hecho realidad!,r,,
,,∼¡Adivina qué!,b,...,a,∼¡Te amo!,k,,,,,,
,,∼¡Detrás de ti!,g,∼¡Ahahaha! ∼¡Te atrapé!,k,,,,,,,,
,,Asegúrate de tomarte un descanso de vez en cuando.,b,No te preocupes por mí.,b,∼¡Siempre estaré aquí esperándote hasta que regreses!,k,,,,,,
Stairway to Heaven de Led Zeppelin,,♫ Hay una dama que todo lo que brilla es oro... ♫,d,♫ ...y está comprando una escalera al cielo... ♫,d,Siento que esa canción se conecta conmigo de una forma que no puedo explicar...,h,,,,,,
esto me hizo reír -Pope,,∼¿Quieres escuchar un chiste?,a,¿Oíste hablar del nuevo restaurante en la Luna?,b,"¡La comida es buena, pero tiene cero atmósfera! ∼¡Ahahaha~!",k,,,,,,
,,Aquí hay otro buen chiste.,b,¿Por qué la Armada Noruega pone códigos de barras en sus barcos?,a,∼¡Para poder scandinavia-n! ∼¡Ahahaha!,k,,,,,,
,,♫ Rendirse...♫,o,♫ ...es difícil hacerlo... ♫,p,♫...cuando todavía...♫,n,♫...dependes de! ♫,m,,,,
Ay. Uf. Mis risas. Eso me tomó demasiado tiempo,,Aquí hay otro buen chiste.,b,¿Cuál es un nombre chino largo?,b,,,,,,,,
,,∼¿Otro chiste más?,b,¿Oíste sobre el trágico fuego en la fábrica de zapatos?,e,∼¡100 almas se perdieron!,k,,,,,,
,,rm -rf --no-preserve-root /,j,"∼¡Jajaja, no lo haría, tonto!",k,,,,,,,,
